dr8_id,smooth-or-featured_smooth_fraction,smooth-or-featured_featured-or-disk_fraction,smooth-or-featured_artifact_fraction,disk-edge-on_yes_fraction,disk-edge-on_no_fraction,has-spiral-arms_yes_fraction,has-spiral-arms_no_fraction,bar_strong_fraction,bar_weak_fraction,bar_no_fraction,bulge-size_dominant_fraction,bulge-size_large_fraction,bulge-size_moderate_fraction,bulge-size_small_fraction,bulge-size_none_fraction,how-rounded_round_fraction,how-rounded_in-between_fraction,how-rounded_cigar-shaped_fraction,edge-on-bulge_boxy_fraction,edge-on-bulge_none_fraction,edge-on-bulge_rounded_fraction,spiral-winding_tight_fraction,spiral-winding_medium_fraction,spiral-winding_loose_fraction,spiral-arm-count_1_fraction,spiral-arm-count_2_fraction,spiral-arm-count_3_fraction,spiral-arm-count_4_fraction,spiral-arm-count_more-than-4_fraction,spiral-arm-count_cant-tell_fraction,merging_none_fraction,merging_minor-disturbance_fraction,merging_major-disturbance_fraction,merging_merger_fraction,smooth-or-featured_smooth_90pc-lower,smooth-or-featured_featured-or-disk_90pc-lower,smooth-or-featured_artifact_90pc-lower,disk-edge-on_yes_90pc-lower,disk-edge-on_no_90pc-lower,has-spiral-arms_yes_90pc-lower,has-spiral-arms_no_90pc-lower,bar_strong_90pc-lower,bar_weak_90pc-lower,bar_no_90pc-lower,bulge-size_dominant_90pc-lower,bulge-size_large_90pc-lower,bulge-size_moderate_90pc-lower,bulge-size_small_90pc-lower,bulge-size_none_90pc-lower,how-rounded_round_90pc-lower,how-rounded_in-between_90pc-lower,how-rounded_cigar-shaped_90pc-lower,edge-on-bulge_boxy_90pc-lower,edge-on-bulge_none_90pc-lower,edge-on-bulge_rounded_90pc-lower,spiral-winding_tight_90pc-lower,spiral-winding_medium_90pc-lower,spiral-winding_loose_90pc-lower,spiral-arm-count_1_90pc-lower,spiral-arm-count_2_90pc-lower,spiral-arm-count_3_90pc-lower,spiral-arm-count_4_90pc-lower,spiral-arm-count_more-than-4_90pc-lower,spiral-arm-count_cant-tell_90pc-lower,merging_none_90pc-lower,merging_minor-disturbance_90pc-lower,merging_major-disturbance_90pc-lower,merging_merger_90pc-lower,smooth-or-featured_smooth_90pc-upper,smooth-or-featured_featured-or-disk_90pc-upper,smooth-or-featured_artifact_90pc-upper,disk-edge-on_yes_90pc-upper,disk-edge-on_no_90pc-upper,has-spiral-arms_yes_90pc-upper,has-spiral-arms_no_90pc-upper,bar_strong_90pc-upper,bar_weak_90pc-upper,bar_no_90pc-upper,bulge-size_dominant_90pc-upper,bulge-size_large_90pc-upper,bulge-size_moderate_90pc-upper,bulge-size_small_90pc-upper,bulge-size_none_90pc-upper,how-rounded_round_90pc-upper,how-rounded_in-between_90pc-upper,how-rounded_cigar-shaped_90pc-upper,edge-on-bulge_boxy_90pc-upper,edge-on-bulge_none_90pc-upper,edge-on-bulge_rounded_90pc-upper,spiral-winding_tight_90pc-upper,spiral-winding_medium_90pc-upper,spiral-winding_loose_90pc-upper,spiral-arm-count_1_90pc-upper,spiral-arm-count_2_90pc-upper,spiral-arm-count_3_90pc-upper,spiral-arm-count_4_90pc-upper,spiral-arm-count_more-than-4_90pc-upper,spiral-arm-count_cant-tell_90pc-upper,merging_none_90pc-upper,merging_minor-disturbance_90pc-upper,merging_major-disturbance_90pc-upper,merging_merger_90pc-upper,smooth-or-featured_smooth_proportion-asked,smooth-or-featured_featured-or-disk_proportion-asked,smooth-or-featured_artifact_proportion-asked,disk-edge-on_yes_proportion-asked,disk-edge-on_no_proportion-asked,has-spiral-arms_yes_proportion-asked,has-spiral-arms_no_proportion-asked,bar_strong_proportion-asked,bar_weak_proportion-asked,bar_no_proportion-asked,bulge-size_dominant_proportion-asked,bulge-size_large_proportion-asked,bulge-size_moderate_proportion-asked,bulge-size_small_proportion-asked,bulge-size_none_proportion-asked,how-rounded_round_proportion-asked,how-rounded_in-between_proportion-asked,how-rounded_cigar-shaped_proportion-asked,edge-on-bulge_boxy_proportion-asked,edge-on-bulge_none_proportion-asked,edge-on-bulge_rounded_proportion-asked,spiral-winding_tight_proportion-asked,spiral-winding_medium_proportion-asked,spiral-winding_loose_proportion-asked,spiral-arm-count_1_proportion-asked,spiral-arm-count_2_proportion-asked,spiral-arm-count_3_proportion-asked,spiral-arm-count_4_proportion-asked,spiral-arm-count_more-than-4_proportion-asked,spiral-arm-count_cant-tell_proportion-asked,merging_none_proportion-asked,merging_minor-disturbance_proportion-asked,merging_major-disturbance_proportion-asked,merging_merger_proportion-asked,catalog_version,legacy_survey_data_release,ra,dec
449453_4371,0.070365556,0.88690954,0.04272491,0.055038925,0.944961,0.8395418,0.16045828,0.4943429,0.297429,0.20822811,0.0117826415,0.0588062,0.6227806,0.29586166,0.010768853,0.197395,0.77155954,0.031045558,0.052846733,0.075434506,0.87171876,0.58230835,0.3012427,0.116448954,0.05999923,0.587607,0.0846668,0.041497976,0.037951298,0.18827765,0.7240698,0.14975734,0.106910184,0.019262718,0.026219143509079956,0.812092425588637,0.009624675198807163,0.019342775400807866,0.8952402384858229,0.6591541330304025,0.019206754928580948,0.3133500633145518,0.13077444825352763,0.06720080994769516,0.0009226881739927634,0.027737015323149147,0.5253304412542343,0.23449356237148974,0.000634542196433084,0.1208219723094892,0.6887958126684136,0.004009467252667592,0.019042503523962702,0.0367539142492626,0.7996301972228627,0.41327478000704,0.1723054248610725,0.030040326311096106,0.006975199410241775,0.4518408277418352,0.015820266322633805,0.002243089366222062,0.0019477838918464168,0.07838228246463244,0.6291275446499078,0.0804496069002515,0.05057343062826081,0.0014670484530116647,0.1370906223725021,0.9418880789334723,0.08790381525992998,0.10475976894138073,0.9806572098390112,0.9807932384212623,0.3408459007391466,0.6764776400384118,0.47079208256097266,0.3765242017401968,0.03333828666165804,0.10317035028214937,0.6888113476070612,0.388451201473466,0.03068064173858305,0.2799582713420801,0.8546875696813251,0.07670775021357315,0.10146306590000742,0.1266704407157618,0.9208072282968388,0.733951904343767,0.4728684186815952,0.24190962194550664,0.13962061737147194,0.748653888531194,0.15516631129280373,0.09928644301587032,0.09717015074793701,0.3153746245396488,0.8144777254641251,0.22939428228917777,0.17721613440074446,0.053472363684614346,1.0,1.0,1.0,0.886909544467926,0.886909544467926,0.83809494972229,0.83809494972229,0.83809494972229,0.83809494972229,0.83809494972229,0.83809494972229,0.83809494972229,0.83809494972229,0.83809494972229,0.83809494972229,0.0703655555844307,0.0703655555844307,0.0703655555844307,0.048814546316862106,0.048814546316862106,0.048814546316862106,0.7036157250404358,0.7036157250404358,0.7036157250404358,0.7036157250404358,0.7036157250404358,0.7036157250404358,0.7036157250404358,0.7036157250404358,0.7036157250404358,1.0,1.0,1.0,1.0,1.0.0,DR8,171.578055830203,21.096225161113836
452143_53,0.1504828,0.78951395,0.060003262,0.10613094,0.8938691,0.56306124,0.4369388,0.28724578,0.2512304,0.46152386,0.01707763,0.07320288,0.42357948,0.47446167,0.011678294,0.1045402,0.7923454,0.10311432,0.057498205,0.11253272,0.8299691,0.44063374,0.3765909,0.1827753,0.037203535,0.6539102,0.031358663,0.01588819,0.015091015,0.24654838,0.7388575,0.13654596,0.10059349,0.024003,0.08602693378571444,0.7057582365627533,0.020603306953288852,0.042793832338913235,0.8170459430750708,0.27217615633227416,0.19693696185282808,0.15263815200420727,0.12231156002014237,0.3184052743307317,0.00266960236251061,0.03488941510871302,0.34526789723237145,0.40262454487049637,0.0009252697014094725,0.0434076008137792,0.6868880470197011,0.038182600601427114,0.02075233943981411,0.06138294347702589,0.7556733774595193,0.29364128782100185,0.23552110002033685,0.08134606948736685,0.008535814823901531,0.5692595365106254,0.006167107854477787,0.0010233007005992112,0.0008637584925596295,0.15841743563269917,0.6436717468652592,0.07708671262479012,0.04716682218227484,0.0033173334113881198,0.22950139560539565,0.8655900432997192,0.11566493196140525,0.18295407996318716,0.957206172769245,0.8030629971643906,0.7278238906940939,0.42648987991019277,0.3957537596565398,0.6213814771381666,0.03991153010800867,0.11205416882127722,0.49350713557647347,0.55843004799156,0.0322728337578272,0.1983290186839291,0.8828990820506288,0.17439815229859124,0.10215260230613746,0.17069652786062556,0.8913416033659436,0.5967777335361569,0.5190257156029394,0.30772386023774323,0.08425192531886955,0.7496621910862692,0.07322688678247653,0.04436346013920509,0.042220842638240386,0.3298441155621799,0.8166018203147563,0.20630501099437526,0.1609321134429029,0.05604861047786482,1.0,1.0,1.0,0.7895139455795288,0.7895139455795288,0.7057220935821533,0.7057220935821533,0.7057220935821533,0.7057220935821533,0.7057220935821533,0.7057220935821533,0.7057220935821533,0.7057220935821533,0.7057220935821533,0.7057220935821533,0.15048280358314514,0.15048280358314514,0.15048280358314514,0.08379185944795609,0.08379185944795609,0.08379185944795609,0.3973647654056549,0.3973647654056549,0.3973647654056549,0.3973647654056549,0.3973647654056549,0.3973647654056549,0.3973647654056549,0.3973647654056549,0.3973647654056549,1.0,1.0,1.0,1.0,1.0.0,DR8,171.9548157861684,21.386107100740418
454690_2474,0.03654465,0.92353404,0.039921317,0.03995864,0.96004134,0.9794219,0.020578075,0.4366658,0.3090839,0.25425032,0.010214373,0.038842097,0.56047934,0.3804767,0.00998749,0.16179805,0.7658228,0.07237914,0.059667513,0.13240466,0.80792785,0.6829664,0.25833842,0.058695182,0.066404745,0.45448634,0.19571166,0.089061715,0.06773655,0.12659897,0.68439806,0.17119607,0.11194291,0.032463018,0.0059817011310687946,0.856542412023411,0.008472557249723872,0.01111427096074591,0.9208261000946952,0.9458937382027625,0.0014355110007673614,0.22563208663849346,0.146107289705245,0.0859421133292555,0.0006256165480136481,0.011943220976106422,0.4767932273323607,0.31475175675393074,0.0005969922416418538,0.08990570374759517,0.6757462510071941,0.02373291997650306,0.025140400850198936,0.07793381036319226,0.7466719857144088,0.542558249556777,0.14231336788536303,0.008472142879091918,0.0033144261979291306,0.28541480453427104,0.06290925164264312,0.00913886438620617,0.003562035552430318,0.022448349689955207,0.5850176755915104,0.09008175094992694,0.04603741627016239,0.0031401014022034274,0.08077115947142492,0.9708214220654919,0.08896349869718398,0.07917396233768403,0.9888857397609877,0.9985644823628763,0.05410631056723069,0.6099484422895278,0.4880838962052331,0.43281619077176847,0.028103198518641227,0.06753141853881804,0.6263368590944132,0.45703614478810534,0.027891919143379636,0.22987380034472,0.8510424126683134,0.12789114122564899,0.09892373265597579,0.18883336758668218,0.8756148568152365,0.8110698232502942,0.39786407397977674,0.14760016959685018,0.1711624180669503,0.6666959487455849,0.36931189773440615,0.20947310680569212,0.17735561206309386,0.2589560420861294,0.785639466241218,0.26522229135211406,0.17945212128282131,0.07913651436844552,1.0,1.0,1.0,0.9235340356826782,0.9235340356826782,0.8866308331489563,0.8866308331489563,0.8866308331489563,0.8866308331489563,0.8866308331489563,0.8866308331489563,0.8866308331489563,0.8866308331489563,0.8866308331489563,0.8866308331489563,0.03654465079307556,0.03654465079307556,0.03654465079307556,0.03690316528081894,0.03690316528081894,0.03690316528081894,0.8683856725692749,0.8683856725692749,0.8683856725692749,0.8683856725692749,0.8683856725692749,0.8683856725692749,0.8683856725692749,0.8683856725692749,0.8683856725692749,1.0,1.0,1.0,1.0,1.0.0,DR8,136.19678527800852,22.028476971980997
489874_3870,0.22754602,0.6801303,0.092323676,0.08623474,0.91376525,0.51968324,0.48031676,0.43000004,0.38878888,0.18121108,0.035689924,0.22815168,0.60060066,0.12411973,0.011438034,0.76683974,0.21739855,0.015761731,0.09270978,0.05964589,0.8476443,0.58255774,0.25842914,0.1590131,0.099923395,0.3682143,0.058449127,0.0294522,0.027505578,0.41645542,0.68278044,0.17244229,0.12157205,0.023205178,0.14888719339804737,0.5575397653154655,0.0340362315561496,0.028570077476159732,0.8391126495825687,0.2566253975511343,0.20412728718741752,0.23043550384952532,0.22783467980939318,0.06825129123533084,0.010693093800396233,0.17131718884072178,0.5342413575224236,0.07274279355923959,0.0008262507761822654,0.7044615882351712,0.1257006987889461,0.0011325377724323677,0.03788152797507918,0.020586087721213453,0.7944607208212059,0.43899723992120143,0.1496492179089128,0.07652315672968708,0.04047533066337853,0.2501966909372475,0.015684650944540114,0.0023492316577245465,0.0019998565915647056,0.29982129838290705,0.5840486779481182,0.10472318215936709,0.05991986917778524,0.0025859370638068634,0.3461195736979666,0.7705620031684393,0.1658597734513848,0.16088736865495662,0.9714299164596235,0.7958727128125824,0.7433746414024934,0.5728646619907865,0.5562482307911508,0.3366524900809869,0.06799195189644974,0.30101047854120366,0.6861694028623482,0.16745620522725546,0.03034617681596748,0.8617838605500827,0.26754922473667114,0.04266921379721775,0.13484849482290479,0.10705118000096484,0.9204474833766844,0.7178411713430559,0.37605104702651626,0.2609439007013582,0.18694428594186394,0.49202886713988836,0.1176996412533762,0.0776575297426107,0.07390046357965582,0.5436120272431548,0.7830928200386127,0.25756046608717437,0.18915856654920332,0.060300198397720765,1.0,1.0,1.0,0.6801303029060364,0.6801303029060364,0.6214794516563416,0.6214794516563416,0.6214794516563416,0.6214794516563416,0.6214794516563416,0.6214794516563416,0.6214794516563416,0.6214794516563416,0.6214794516563416,0.6214794516563416,0.22754602134227753,0.22754602134227753,0.22754602134227753,0.05865085870027542,0.05865085870027542,0.05865085870027542,0.32297244668006897,0.32297244668006897,0.32297244668006897,0.32297244668006897,0.32297244668006897,0.32297244668006897,0.32297244668006897,0.32297244668006897,0.32297244668006897,1.0,1.0,1.0,1.0,1.0.0,DR8,137.87872403987757,28.82659190172127
473392_1656,0.07487771,0.8794649,0.045657326,0.052234873,0.9477651,0.8280605,0.17193942,0.3526237,0.33809024,0.30928603,0.010573082,0.063024156,0.59206945,0.32517156,0.00916179,0.28086966,0.68530154,0.0338288,0.063953646,0.080478124,0.8555683,0.29419938,0.49380147,0.21199913,0.025997262,0.8262961,0.030404361,0.014424007,0.0140303,0.08884792,0.6752311,0.14199962,0.15490434,0.02786495,0.027651925670644794,0.8167966727415124,0.013207112806478766,0.016399010622035855,0.9019180163236031,0.6416741885135339,0.026170324853813414,0.21073376720184944,0.19660542431061612,0.16714572837388353,0.0008369485724058765,0.030133964474324922,0.5138317568050295,0.2601359558297174,0.0005513684304128904,0.19064960700039565,0.5838186538549286,0.005166616672929871,0.024109166558702832,0.03836482071789821,0.7894437200867934,0.16891374036395704,0.31851788985724816,0.08343681381325964,0.0038013351172760117,0.7568633841708997,0.00494355405623217,0.0007114043095072784,0.0006611257104808281,0.04637187730813643,0.5727814189104514,0.07813881253854231,0.07930686054530763,0.003958765367703338,0.12610613191914063,0.9394443033804537,0.09190200380835789,0.09808199739255909,0.9836009962973851,0.9738296751461866,0.3583258114864662,0.5157203172864423,0.5052496623721952,0.4749331577250052,0.028935092167952203,0.10226812112434269,0.6611580213315742,0.40053528354574086,0.026165421220617043,0.370411869634758,0.7768962646398592,0.071472980118706,0.10418028206450798,0.1269286136883965,0.9103328068069176,0.4891001270890759,0.6426142517962348,0.359769097037446,0.06076122906202214,0.8975749092759012,0.06117154974795927,0.03816801485844888,0.037654289370630624,0.14343221786151603,0.7716182335420753,0.22148676275544021,0.23083054050904317,0.0680362834963772,1.0,1.0,1.0,0.8794649243354797,0.8794649243354797,0.8335261940956116,0.8335261940956116,0.8335261940956116,0.8335261940956116,0.8335261940956116,0.8335261940956116,0.8335261940956116,0.8335261940956116,0.8335261940956116,0.8335261940956116,0.07487770915031433,0.07487770915031433,0.07487770915031433,0.04593873769044876,0.04593873769044876,0.04593873769044876,0.6902101039886475,0.6902101039886475,0.6902101039886475,0.6902101039886475,0.6902101039886475,0.6902101039886475,0.6902101039886475,0.6902101039886475,0.6902101039886475,1.0,1.0,1.0,1.0,1.0.0,DR8,196.49459515850364,25.465659026519916
470790_1538,0.026496686,0.9262832,0.04722015,0.025339128,0.9746609,0.9804281,0.019571936,0.4980668,0.34420693,0.15772627,0.010910463,0.072827175,0.6067613,0.2996057,0.009895377,0.5339543,0.43355468,0.032490972,0.11410923,0.09528569,0.790605,0.18638864,0.6501664,0.16344492,0.011483921,0.92797655,0.021807272,0.010929549,0.010748003,0.017054666,0.7811726,0.123994626,0.077299744,0.017533014,0.00382490618953934,0.87570656405094,0.01456612156515881,0.0050975090564844856,0.942266802818046,0.9519071445607501,0.001408475131539185,0.3373426292290668,0.20703739107867788,0.05679990400673427,0.0008565909984741572,0.038695270413266855,0.5334900924887983,0.23013094728826244,0.0007503966085608885,0.42936382636071563,0.3399829367876642,0.0065569850362842885,0.06658775279021893,0.05736586966219115,0.728526890989113,0.06509659315562598,0.46795974048780453,0.057497808862384224,0.0006431772979999258,0.8814491312227432,0.0036950449362000513,0.0005722543857029935,0.0005376879314972824,0.001781455111371543,0.6995879342428168,0.06647488350958,0.031548662772140114,0.0014238962849642842,0.06062508565732271,0.9699239409696734,0.09254439792330355,0.057733172388893174,0.9949024838147191,0.9985915282135532,0.04809281185617575,0.645447388351045,0.49503110953958135,0.2674034373329676,0.028656246275860497,0.11580882606181743,0.6771336255462568,0.36902080814726984,0.02802162025648331,0.6116324491580138,0.524067147926842,0.06641414458686619,0.16090200751655928,0.14975511829381144,0.8528099695501247,0.33423013535204515,0.8025693462387813,0.29525961980612114,0.0319959386409252,0.9683551961734731,0.049119721019408216,0.03122357297705901,0.030835339387826063,0.04140969629253874,0.8550272433896539,0.1932573115197364,0.12796660595131876,0.04543517383080027,1.0,1.0,1.0,0.9262831807136536,0.9262831807136536,0.9028119444847107,0.9028119444847107,0.9028119444847107,0.9028119444847107,0.9028119444847107,0.9028119444847107,0.9028119444847107,0.9028119444847107,0.9028119444847107,0.9028119444847107,0.026496686041355133,0.026496686041355133,0.026496686041355133,0.023471208289265633,0.023471208289265633,0.023471208289265633,0.8851422071456909,0.8851422071456909,0.8851422071456909,0.8851422071456909,0.8851422071456909,0.8851422071456909,0.8851422071456909,0.8851422071456909,0.8851422071456909,1.0,1.0,1.0,1.0,1.0.0,DR8,198.4386960602843,24.982413445283324
461602_672,0.025863804,0.9238161,0.050320145,0.030618543,0.9693815,0.9818431,0.018156916,0.7330293,0.20584111,0.0611296,0.009700954,0.015401414,0.17072153,0.79217726,0.011998814,0.4497667,0.4696422,0.08059114,0.118209235,0.1369233,0.7448674,0.4453966,0.45662603,0.09797744,0.04506707,0.6109995,0.13408898,0.0702804,0.046039134,0.09352486,0.67353266,0.16981277,0.13842396,0.018230684,0.0033440197383868718,0.8682816461343303,0.013048269971870785,0.006470217958166928,0.9324659174893529,0.9537486116635007,0.0013401436877713293,0.6018911123279552,0.10893740656688948,0.011271307633253005,0.0006374335567352551,0.001936278874246003,0.11066737278219202,0.7403899317568596,0.0011371077783781875,0.3514042479887091,0.3716703686191384,0.030715173401361453,0.06892000200008422,0.08818270063123572,0.6710070478545282,0.28058625322002495,0.2936235289864729,0.02262795954797106,0.002538521995955773,0.41108748182219496,0.03277806496355154,0.008334604644013234,0.0026744515828158273,0.014999933359318412,0.57902059771845,0.10003033528000223,0.07195901762182275,0.0017108075066931657,0.06107291755504633,0.971715325848624,0.09561185274884866,0.06753413919729485,0.9935297724702834,0.9986598652187755,0.04625136648587349,0.8521681670865808,0.3324247183430057,0.1393224646482768,0.026666688075264223,0.035104929665106824,0.21955672839915757,0.858295197383188,0.030551110194029316,0.5481536300149361,0.5710893037649705,0.13968247119590316,0.17186283636189092,0.19607116910188882,0.8114613679946033,0.610993521851452,0.6325555427099014,0.2139444641978197,0.13236413325661192,0.7668378708403566,0.25677289038238166,0.16324770170933706,0.13490920163822642,0.22504095617857736,0.7623355826767741,0.2421515748099445,0.20369551017646836,0.049567933050591415,1.0,1.0,1.0,0.9238160848617554,0.9238160848617554,0.8955302238464355,0.8955302238464355,0.8955302238464355,0.8955302238464355,0.8955302238464355,0.8955302238464355,0.8955302238464355,0.8955302238464355,0.8955302238464355,0.8955302238464355,0.025863803923130035,0.025863803923130035,0.025863803923130035,0.028285901993513107,0.028285901993513107,0.028285901993513107,0.8792701959609985,0.8792701959609985,0.8792701959609985,0.8792701959609985,0.8792701959609985,0.8792701959609985,0.8792701959609985,0.8792701959609985,0.8792701959609985,1.0,1.0,1.0,1.0,1.0.0,DR8,205.37355959757417,23.166942762647555
458951_1398,0.05153099,0.8997203,0.048748676,0.035099365,0.9649007,0.97513336,0.024866622,0.16785763,0.42006373,0.41207862,0.0068809264,0.0106779635,0.38267747,0.5926951,0.0070685875,0.23839724,0.7261472,0.035455555,0.055687994,0.17170578,0.7726062,0.6596058,0.29470226,0.045691952,0.044739757,0.2700077,0.3605107,0.13620886,0.04689622,0.14163674,0.80744064,0.13816397,0.038900595,0.015494828,0.0129205506340066,0.8152277004033129,0.012237579333260376,0.010064554679153464,0.9282430799946773,0.9407750400286562,0.002393768747559916,0.059719210186266754,0.2727590348759558,0.24486184055051033,0.00038107081504187216,0.0012975469316078981,0.32660566510255995,0.5251355835690237,0.00043601646578564726,0.16271087120698963,0.6342598021934849,0.007842659993668098,0.026171959374582245,0.11967165325395426,0.7154180159727199,0.5296591061087059,0.18202088072714726,0.006856904922720946,0.002418907214181513,0.13950855011314037,0.20159828196722063,0.04289465184136507,0.002767951839941599,0.03752316278316713,0.7367561187099525,0.08724206480899994,0.013128015065873381,0.0015352324169145913,0.1114466112765321,0.9555201763423704,0.10544019950404172,0.07175696795901748,0.9899354635767971,0.9976062361744097,0.05922496305631134,0.3011892293138842,0.5918642359541979,0.5657314012265926,0.019666667136385933,0.026759924627563145,0.4534326255414299,0.6530889718254858,0.02005345715063051,0.3322831432675968,0.8020981745805964,0.07380514825865166,0.0908200340252431,0.2313317669343098,0.8393672571189551,0.7682050853007372,0.42042687083821345,0.10770673057498548,0.12761418598048144,0.4304894671820198,0.5249554099233068,0.28286993482385087,0.13068273812726386,0.26141230937706517,0.8666953139491635,0.20509703068120885,0.07659325878754986,0.039800789758515503,1.0,1.0,1.0,0.899720311164856,0.899720311164856,0.8681407570838928,0.8681407570838928,0.8681407570838928,0.8681407570838928,0.8681407570838928,0.8681407570838928,0.8681407570838928,0.8681407570838928,0.8681407570838928,0.8681407570838928,0.05153099074959755,0.05153099074959755,0.05153099074959755,0.03157960996031761,0.03157960996031761,0.03157960996031761,0.8465530276298523,0.8465530276298523,0.8465530276298523,0.8465530276298523,0.8465530276298523,0.8465530276298523,0.8465530276298523,0.8465530276298523,0.8465530276298523,1.0,1.0,1.0,1.0,1.0.0,DR8,206.6275072592299,22.706006802110807
394285_1227,0.029479366,0.9252035,0.045317218,0.023798857,0.9762012,0.98515147,0.014848555,0.32992333,0.44679505,0.22328165,0.0068919193,0.013802946,0.41519946,0.5564329,0.00767274,0.6905149,0.2765349,0.03295015,0.08836538,0.15590073,0.75573385,0.6730598,0.29092267,0.036017526,0.059721984,0.17440648,0.35238993,0.23240559,0.0673035,0.1137725,0.801355,0.13595124,0.0497862,0.012907511,0.0036894356565654583,0.8631378151755954,0.011179700496654128,0.004197692558456734,0.9471744125646079,0.9603609337318169,0.0010918675011270566,0.16543134235202697,0.2756980143503277,0.09871403848682606,0.00038269171245257323,0.0021066770120571295,0.35459596594940124,0.4900677071606523,0.0005006351910594333,0.6146141927838205,0.2070337917489686,0.007399342059594157,0.04582263643548488,0.10835592140910145,0.6955650218786874,0.5801277063426586,0.18179735880441822,0.004475072266661567,0.003095556965825351,0.04583137805524552,0.1887852841730778,0.08263401617907759,0.0043770263056063475,0.019831040103551092,0.7319289947287095,0.083746219083897,0.017083671862325508,0.0009465480792483556,0.0709739130183028,0.9729985189447468,0.09643601348051263,0.05282557924715646,0.9958023010744593,0.9989081311641171,0.0396390983320579,0.5058633475419024,0.6319443729662011,0.39579667610526137,0.02047478449838516,0.03184006001630394,0.48539387568056463,0.6220396667473458,0.021331599160374325,0.7689256727629976,0.35502885884260427,0.06321155268226371,0.12396984847672211,0.21353315937326156,0.8199596183443102,0.7860283606862783,0.38131309294489535,0.08968679405436815,0.16456334468690584,0.3403156741485162,0.5390750302896034,0.4099006292674134,0.18644620827061859,0.2651144545428261,0.8661688839272298,0.19739746828163857,0.08765440803278918,0.03517578804137842,1.0,1.0,1.0,0.9252035021781921,0.9252035021781921,0.9031847715377808,0.9031847715377808,0.9031847715377808,0.9031847715377808,0.9031847715377808,0.9031847715377808,0.9031847715377808,0.9031847715377808,0.9031847715377808,0.9031847715377808,0.029479365795850754,0.029479365795850754,0.029479365795850754,0.022018786519765854,0.022018786519765854,0.022018786519765854,0.8897737860679626,0.8897737860679626,0.8897737860679626,0.8897737860679626,0.8897737860679626,0.8897737860679626,0.8897737860679626,0.8897737860679626,0.8897737860679626,1.0,1.0,1.0,1.0,1.0.0,DR8,224.5259645304805,10.954523241198029
479870_2488,0.024965221,0.9262254,0.04880926,0.02432918,0.97567075,0.98407334,0.015926687,0.4245386,0.38488117,0.19058022,0.008531189,0.01788116,0.27727652,0.686593,0.00971808,0.5731182,0.38378718,0.043094646,0.11575253,0.16054533,0.7237021,0.4843931,0.4424696,0.07313732,0.05839433,0.3439252,0.2737483,0.14938885,0.06380869,0.110734634,0.7377522,0.15519986,0.09319193,0.013855981,0.0036769931101461963,0.8695704418450698,0.01344526453094574,0.005152375671722874,0.9416657193179122,0.9574184973750763,0.0013525739016963811,0.2737266593116607,0.23778863326534833,0.07430120875838962,0.0005405693679622297,0.0035511429178871953,0.21636666967168872,0.618118570967002,0.0008343994434435779,0.4953353725674201,0.2873660497533332,0.010545310727299306,0.06060840583747066,0.10823619958908337,0.6548602573551514,0.337116054532725,0.3104986261085222,0.015824706639692182,0.0029551420740490104,0.187683845257768,0.11184841213052898,0.038669311677931494,0.00400576357613741,0.017845600823712473,0.6594530059798934,0.09820710912844219,0.05012010087966244,0.0011597252236217352,0.062174002763551395,0.9716792943334989,0.09806654577784905,0.058334232493494724,0.9948476230902568,0.99864741675022,0.04258143521012138,0.5883136653702081,0.5505293629370109,0.33476067665539844,0.02379585522547541,0.03803974629854867,0.34215066787831516,0.747760757137836,0.02658282802975912,0.6672286942493304,0.4618098341817065,0.07339999934324988,0.1512510130167782,0.2168746490331084,0.7877316592370638,0.6189299723652881,0.5883173746752626,0.15397274547224354,0.15785949288555962,0.5371227898301396,0.4319808265710455,0.3021041761427119,0.1741404579647028,0.2522619198624453,0.8095682649327648,0.2236225567855532,0.14835406374447874,0.03842205083399902,1.0,1.0,1.0,0.9262254238128662,0.9262254238128662,0.9036910533905029,0.9036910533905029,0.9036910533905029,0.9036910533905029,0.9036910533905029,0.9036910533905029,0.9036910533905029,0.9036910533905029,0.9036910533905029,0.9036910533905029,0.02496522106230259,0.02496522106230259,0.02496522106230259,0.022534305229783058,0.022534305229783058,0.022534305229783058,0.8892982602119446,0.8892982602119446,0.8892982602119446,0.8892982602119446,0.8892982602119446,0.8892982602119446,0.8892982602119446,0.8892982602119446,0.8892982602119446,1.0,1.0,1.0,1.0,1.0.0,DR8,197.0068970893009,26.76538303029278
